NUM|CONSOLKEY|CRFTYPE|CRF_TXN_CODE|TID|PARENTBRCA|BRCA_CO|CCY|PSTA|DRCR|EXRATE|CURRMAR|ACCOFF|TRAT|PLCATE|PRODCA|SYSID|DESK|DLREF|OUREF|THREF|CSNM|COUNTERPARTY|VALD|PSTD|EXDATE|INPUTTER|AUTHORISER|RSMK|REMK|CURRNO|SYS_DATE|CATEGORY|SECTOR|TENOR|PRODCODE|
50110101|PL.50000.1112.3201..........CN0010606|||184811643444677.020001|0606|0606|CNY|-30.230000|0||1|9999|380|50000|1112|IC|||1060602000000286||1001142|||20180702||36_INPUTTER|36_INPUTTER|||1|20180702|50000|3201||1112|
50010202|PL.51001.21053.3049.MT.02102.UNSECU.00......CN0010608|51001|ACC|184430433071266.110001|0608|0608|CNY|65.950000|1||1|1|450|51001|21053|LD|00|LD1715306360|LD1715306360||1002957||20180701|20180702||44_INPUTTER|44_INPUTTER|||1|20180702|51001|3049|MT|21053|
50010202|PL.51001.21053.3049.MT.02102.UNSECU.00......CN0010608|51001|ACC|184810724044526.030001|0608|0608|CNY|65.940000|1||1|1|450|51001|21053|LD|00|LD1715306360|LD1715306360||1002957||20180702|20180702||47_INPUTTER|47_INPUTTER|||1|20180702|51001|3049|MT|21053|
59010203|PL.51001.21056.3204.MT.02401.SECU.00......CN0010606|51001|ACC|184430096371266.040001|0606|0606|CNY|103.220000|1||1|1|450|51001|21056|LD|00|LD1710425568|LD1710425568||1002725||20180701|20180702||43_INPUTTER|43_INPUTTER|||1|20180702|51001|3204|MT|21056|
59010203|PL.51001.21056.3204.MT.02401.SECU.00......CN0010606|51001|ACC|184811397744526.020001|0606|0606|CNY|103.230000|1||1|1|450|51001|21056|LD|00|LD1710425568|LD1710425568||1002725||20180702|20180702||49_INPUTTER|49_INPUTTER|||1|20180702|51001|3204|MT|21056|
50110101|PL.50000.1112.3107..........CN0010607|||184812311944674.010001|0606|0607|CNY|-0.160000|0||1|1|380|50000|1112|IC|||1060702000005096||1003292|||20180702||42_INPUTTER|42_INPUTTER|||1|20180702|50000|3107||1112|
50010202|PL.51001.21053.3201.MT.02102.UNSECU.00......CN0010608|51001|ACC|184431367771267.010001|0608|0608|CNY|316.820000|1||1|1|450|51001|21053|LD|00|LD1727173460|LD1727173460||1003785||20180701|20180702||35_INPUTTER|35_INPUTTER|||1|20180702|51001|3201|MT|21053|
50110101|PL.50000.1112.3203..........CN0010609|||184810040244665.010001|0606|0609|CNY|-12.970000|0||1|1|380|50000|1112|IC|||1060902000006091||1003841|||20180702||45_INPUTTER|45_INPUTTER|||1|20180702|50000|3203||1112|
50010202|PL.51001.21053.3201.MT.02102.UNSECU.00......CN0010608|51001|ACC|184810724044528.010001|0608|0608|CNY|316.820000|1||1|1|450|51001|21053|LD|00|LD1727173460|LD1727173460||1003785||20180702|20180702||47_INPUTTER|47_INPUTTER|||1|20180702|51001|3201|MT|21053|
501104|PL.50000.6122.1002..........CN0010606|||184810387444661.040001|0606|0606|CNY|-10.670000|0||1|9999|380|50000|6122|IC|||1060606000000688||1000445|||20180702||46_INPUTTER|46_INPUTTER|||1|20180702|50000|1002||6122|
501104|PL.50000.6122.1002..........CN0010606|||184810387444662.070001|0606|0606|CNY|-21.330000|0||1|9999|380|50000|6122|IC|||1060606000000788||1000445|||20180702||46_INPUTTER|46_INPUTTER|||1|20180702|50000|1002||6122|
