NUM|IN_TYPE|TRADE_ID|TRADE_ID_T|BRCA|PARENTBRCA|BRCA_CO|PARENTBRCA_CO|CSNM|CTNM|DTYP|CCY|PSTA|PSTD|RSMK|REMK|TRADE_ID_O|VALD|CNLSC|SYS_DATE|
22200202|1|0606S11100000632||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|10819.9600|20180426||||20180426|GAR|20180702|
22200202|1|0606S11100000652||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|4074.9700|20180426||||20180426|GAR|20180702|
22200202|1|0606S11100000661||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|4922.9200|20180428||||20180428|GAR|20180702|
500110|1|0606S11100000662||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|4922.9200|20180428||||20180428|GAR|20180702|
22200202|1|0606S11100000671||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|15076.6200|20180428||||20180428|GAR|20180702|
500110|1|0606S11100000672||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|15076.6200|20180428||||20180428|GAR|20180702|
22200202|1|0606S11100000681||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|12332.3300|20180428||||20180428|GAR|20180702|
500110|1|0606S11100000682||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|12332.3300|20180428||||20180428|GAR|20180702|
22200202|1|0606S11100000691||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|4140.5200|20180428||||20180428|GAR|20180702|
500110|1|0606S11100000692||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|4140.5200|20180428||||20180428|GAR|20180702|
22200202|1|0606S11100000701||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|689.9100|20180428||||20180428|GAR|20180702|
500110|1|0606S11100000702||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|689.9100|20180428||||20180428|GAR|20180702|
22200202|1|0606S11100000722||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|15113.6500|20180507||||20180507|GAR|20180702|
22200202|1|0606S11100000742||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|21384.6900|20180507||||20180507|GAR|20180702|
22200202|1|0606S11100000762||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|38018.3500|20180508||||20180508|GAR|20180702|
22200202|1|0606S11100000782||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|12454.0900|20180508||||20180508|GAR|20180702|
22200202|1|0606S11100000794||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|4110.7900|20180510||||20180510|GAR|20180702|
500110|1|0606S11100000795||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|4110.7900|20180510||||20180510|GAR|20180702|
22200202|1|0606S11100000812||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|7162.4300|20180518||||20180518|GAR|20180702|
22200202|1|0606S11100000821||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|30055.9500|20180531||||20180531|GAR|20180702|
500110|1|0606S11100000822||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|30055.9500|20180531||||20180531|GAR|20180702|
