LCNO|LCTYPE|CTMN|CSMN|ISBK|ISDT|ADEXRYDATE|BEFC|BEFCNO|MALC|IOUN|CDCN|NGTB|SWIFTCODE|LCCR|LCAM|LCBL|LCTE|COMS|CHTP|GRTC|LINE_CODE|FTYP|FCCY|FCAM|BRCA|PARENTBRCA|BRCA_CO|TENOR_DAYS|BANK_PAY_FLG|SYS_DATE|
TF1621805168|IUNU|丰锦国际贸易（上海）有限公司|1001269||20160805|20160908|SK NETWORKS CO.,LTD|||TF162180516801,|1001269.0003022.01.02|||USD|647850.000000000000|0.000000|23020|CNY5382.74,CNY132.94,CNY4893.03,CNY133.56,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1707285835|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170313|20170407|BESTWIN CHEMICAL ENGINEERING|||TF170728583501,|1001269.0003022.01.03|||USD|84426.930000000000|0.000000|23020|CNY729.00,CNY138.16,CNY728.77,CNY138.11,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1707304548|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170314|20170407|BESTWIN CHEMICAL ENGINEERING|||TF170730454801,|1001269.0003022.01.03|||USD|112569.240000000000|0.000000|23020|CNY973.78,CNY138.41,CNY971.84,CNY138.13,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1707382300|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170314|20170518|BESTWIN CHEMICAL ENGINEERING|||TF170738230001,|1001269.0003022.01.03|||USD|769500.000000000000|0.000000|23020|CNY6656.56,CNY138.41,CNY6636.55,CNY137.99,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1708004824|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170321|20170428|BESTWIN CHEMICAL ENGINEERING|||TF170800482401,|1001269.0003022.01.03|||USD|142650.050000000000|0.000000|23020|CNY1231.53,CNY138.13,CNY1229.20,CNY137.87,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1708802550|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170329|20170511|BESTWIN CHEMICAL ENGINEERING|||TF170880255001,|1001269.0003022.01.03|||USD|312984.960000000000|0.000000|23020|CNY2696.48,CNY137.85,CNY2697.32,CNY137.89,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1635610207|IUNU|丰锦国际贸易（上海）有限公司|1001269||20161221|20170121|BESTWIN CHEMICAL ENGINEERING|||TF163561020701,TF163561020702,|1001269.0003022.01.03|||USD|287707.200000000000|0.000000|23020|CNY2499.44,CNY139.00,CNY1832.16,CNY138.99,CNY667.17,CNY138.99,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1711549004|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170425|20170623|SINOPEC CHEMICAL COMMERCIAL|||TF171154900401,|1001269.0003022.01.03|||USD|1575000.000000000000|0.000000|23020|CNY13557.99,CNY137.73,CNY13550.45,CNY137.87,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1712232755|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170502|20170722|BESTWIN CHEMICAL ENGINEERING|||TF171223275501,|1001269.0003022.01.03|||USD|152777.920000000000|0.000000|23020|CNY1316.98,CNY137.92,CNY1318.85,CNY138.12,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1712253559|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170502|20170722|BESTWIN CHEMICAL ENGINEERING|||TF171225355901,|1001269.0003022.01.03|||USD|77766.240000000000|0.000000|23020|CNY670.36,CNY137.92,CNY671.38,CNY138.13,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
TF1715147063|IUNU|丰锦国际贸易（上海）有限公司|1001269||20170531|20170623|SINOPEC CHEMICAL COMMERCIAL|||TF171514706301,|1001269.0003022.01.03|||USD|798000.000000000000|0.000000|23020|CNY6816.57,CNY136.67,CNY6461.56,CNY135.88,|LCJKKZ,LCXBDF,LCCDFK,LCXBDF,||1001269.0003022.01|3022|USD|8000000.000000||0606|0606|90|2|20180702|
